animal,amphibian,bird,bug,crustacean,fish,invertebrate,mammal,reptile,fantasy-creature,fantasy-class,fantasy-item,sci-fi-class,sci-fi-creature,sci-fi-item,adjective,emotion,inanimate-object,food,job,accessory,item,material,color,body-part,active-ing-verb,passive-ing-verb
amphibian,frog,flamingo,ant,crab,shark,octopus,cat,lizard,goblin,wizard,magic book,pilot,alien,ray gun,fuzzy,happy,toaster,hot dog,chef,cloak,chef knife,gold,red,arm,fighting,sleeping
bird,newt,parrot,house fly,lobster,pufferfish,sea cucumber,dog,chameleon,gnome,knight,wand,engineer,sandworm,tractor beam,slimy,content,car,pb&j,artist,crown,yo-yo,ectoplasm,orange,leg,loving,sitting
bug,salamander,cockatoo,caterpillar,shrimp,clownfish,starfish,tiger,snake,elf,sorcerer,staff,bounty hunter,robot,bubble helmet,wet,confused,refrigerator,sandwich,mechanic,bath robe,kazoo,chocolate,yelllow,body,eating,walking
crustacean,toad,eagle,slug,crawdad,swordfish,anenome,lion,turtle,orc,necromancer,sword,astronaut,android,space suit,hot,sad,tractor,potato,bus driver,backpack,pocket watch,birthday cake,green,hand,watching,learning
fish,tadpole,penguin,snail,mantis shrimp,sunfish,squid,hamster,snapping turtle,ent,barkeep,crown,explorer,zombie,UFO,cold,mad,cardboard box,croissant,memelord,satchel,pocket knife,metal,blue,finger,contemplating,
invertebrate,axolotl,puffin,spider,fiddler crab,trout,cuttlefish,seal,sea turtle,troll,witch,sceptor,botanist,kaiju,oxygen mask,giant,angry,microwave,pizza,zookeeper,pouch,bird cage,meat,purple,toe,holding,
mammal,red eyed tree frog,robin,stag beetle,horseshoe crab,tuna,jellyfish,monkey,rattlesnake,fairy,mage,magic book,medic,cyborg,gas mask,tiny,thoughtful,brick,french fry,gardener,zipper pocket,vegetable peeler,plant,turquoise,foot,teaching,
reptile,bullfrog,turkey,peacock spider,krill,salmon,clam,gorilla,crocodile,mimic,warlock,hood,doctor,blob alien,jet pack,sick,sleepy,book,cheeseburger,accountant,belt buckle,cheese grater,dried leaves,silver,eye,,
,poison dart frog,vulture,dung beetle,sea monkey,goldfish,sea urchin,whale,alligator,lizardfolk,bard,oversized pack,space marine,mutant,hover board,sharp,hungry,skull,tater tot,lawyer,trucker hat,shampoo bottle,bones,gold,nose,,
,,raven,grasshopper,,koi,,leopard,anaconda,dragon,shopkeeper,knapsack,scientist,humanoid alien,,unwieldy,lonely,bookshelf,ice cream,cashier,straw hat,bar of soap,bone,,mouth,,
,,,scorpion,,electric eel,,pangolin,boa constrictor,slime,druid,quiver and arrows,spy,tentacle alien,,shimmery,sick,mattress,chocolate bar,,denim jacket,ukulele,poop,,butt,,
,,,praying mantis,,eel,,dolphin,monitor lizard,ghost,artificer,bow and arrows,exobiologist,reptilian alien,,pointy,,ramp,chocolate cake,,leather jacket,tennis shoe,ice,,head,,
,,,earthworm,,moray eel,,manatee,iguanna,dwarf,barbarian,quarter staff,geologist,avian alien,,,,staircase,birthday cake,,puka shell necklace,,snow,,brain,,
,,,mosquito,,,,kangaroo,gila monster,unicorn,monk,club,,,,,,slide,taco,,,,water,,face,,
,,,butterfly,,,,hedgehog,leopard gecko,gryphon,,,,,,,,ladder,quesadilla,,,,cat hair,,,,
,,,flea,,,,armadillo,horned toad,cyclops,,,,,,,,door,burrito,,,,bird poop,,,,
,,,tick,,,,horse,ball python,centaur,,,,,,,,,bowl of spaghetti,,,,frosting,,,,
,,,,,,,bear,tortoise,minotaur,,,,,,,,,leg of mutton,,,,ice cream,,,,
,,,,,,,kitten,,,,,,,,,,,,,,,platinum ,,,,
,,,,,,,puppy,,,,,,,,,,,,,,,slime,,,,
